prob,wnid_words,wnid,Class,key
0.07492107152938843,Egyptian cat,n02124075,cat,6319
0.2156500220298767,Siamese cat,n02123597,cat,7299
0.7199513912200928,groenendael,n02105056,dog,5307
0.8698621392250061,window screen,,,3413
0.550954282283783,sandbar,,,6725
0.9436787962913513,Boston bull,n02096585,dog,643
0.20244719088077545,Angora,n02123478,cat,8956
0.6795636415481567,Egyptian cat,n02124075,cat,1658
0.4551176428794861,Egyptian cat,n02124075,cat,1838
0.6909708976745605,Egyptian cat,n02124075,cat,5617
0.747356116771698,tabby,n02122878,cat,6686
0.747356116771698,tabby,n02123045,cat,4403
0.37150660157203674,Ibizan hound,n02091244,dog,9946
0.45507699251174927,Egyptian cat,n02124075,cat,54
0.3634536564350128,tiger cat,n02123159,cat,1101
0.11670707911252975,Eskimo dog,n02109961,dog,2062
0.9851691722869873,cocker spaniel,n02102318,dog,1797
0.39521175622940063,golden retriever,n02099601,dog,2445
0.6825091242790222,Egyptian cat,n02124075,cat,4226
0.7927117347717285,golden retriever,n02099601,dog,9411
0.5541249513626099,Egyptian cat,n02124075,cat,5899
0.7653206586837769,redbone,n02090379,dog,6905
0.5884126424789429,tabby,n02122878,cat,8136
0.5884126424789429,tabby,n02123045,cat,138
0.196349635720253,shoji,,,6926
0.33462387323379517,carton,,,12477
0.27841365337371826,Walker hound,n02089867,dog,4367
0.32049769163131714,Ibizan hound,n02091244,dog,2886
0.34220150113105774,hair spray,,,2782
0.5369729995727539,Egyptian cat,n02124075,cat,2214
0.4012039601802826,American Staffordshire terrier,n02093428,dog,11924
0.38717079162597656,kelpie,n02105412,dog,4408
0.3985949158668518,Great Dane,n02109047,dog,7318
0.43558651208877563,tabby,n02122878,cat,11460
0.43558651208877563,tabby,n02123045,cat,10470
0.5587154626846313,Persian cat,n02123394,cat,7638
0.6715577244758606,Egyptian cat,n02124075,cat,8326
0.7120491862297058,pug,n02110958,dog,4455
0.8428500890731812,tabby,n02122878,cat,4072
0.8428500890731812,tabby,n02123045,cat,8454
0.3556002974510193,Border terrier,n02093754,dog,3723
0.7389029264450073,borzoi,n02090622,dog,9893
0.1903642863035202,hamster,,,11815
0.9494044184684753,Siamese cat,n02123597,cat,2590
0.644743025302887,Appenzeller,n02107908,dog,9121
0.9837236404418945,Egyptian cat,n02124075,cat,4212
0.10869365930557251,tabby,n02122878,cat,6616
0.10869365930557251,tabby,n02123045,cat,6476
0.5442503690719604,tabby,n02122878,cat,7196
0.5442503690719604,tabby,n02123045,cat,9600
0.8739728331565857,Chihuahua,n02085620,dog,1674
0.7778928875923157,Persian cat,n02123394,cat,7593
0.5793086290359497,tabby,n02122878,cat,12291
0.5793086290359497,tabby,n02123045,cat,75
0.9317286014556885,boxer,n02108089,dog,8375
0.3609212040901184,bluetick,n02088632,dog,10412
0.3630576729774475,Egyptian cat,n02124075,cat,6236
0.13615956902503967,Labrador retriever,n02099712,dog,6516
0.9064877033233643,Tibetan mastiff,n02108551,dog,11293
0.2880917489528656,Irish wolfhound,n02090721,dog,6832
